Name;Predicted;Real
output17_1;18;19
output17_2;20;20
output17_3;10;11
output17_4;12;12
output17_5;12;11
output17_6;18;19
output17_7;26;24
output17_8;11;11
output17_9;12;12
output17_10;11;12
output17_11;23;23
output17_12;26;26
output17_13;19;19
output17_14;20;19
output17_15;20;20
output18_0;28;29
output18_1;28;28
output18_2;11;11
output18_3;10;10
output18_4;17;19
output18_5;9;9
output18_6;11;11
output18_7;19;19
output18_8;12;10
output18_9;16;18
output18_10;22;24
output18_11;15;14
output18_12;29;30
output18_13;29;29
output18_14;16;17
output18_15;8;8
output19_0;22;24
output19_1;15;15
output19_2;8;8
output19_3;8;8
output19_4;26;26
output19_5;30;29
output19_6;26;20
output19_7;18;14
output19_8;20;23
output19_9;22;22
output19_10;21;21
output19_11;18;18
output19_12;21;20
output19_13;7;7
output19_14;15;15
output19_15;12;12
output20_0;20;20
output20_1;23;23
output20_2;9;10
output20_3;17;17
output20_4;20;21
