Name;Predicted;Real
output12_3;20;20
output12_4;19;18
output12_5;7;7
output12_6;11;11
output12_7;21;22
output12_8;17;16
output12_9;19;20
output12_10;14;12
output12_11;11;11
output12_12;17;18
output12_13;10;11
output12_14;9;9
output12_15;20;19
output13_0;10;11
output13_1;10;10
output13_2;9;9
output13_3;19;20
output13_4;20;22
output13_5;21;22
output13_6;8;8
output13_7;20;20
output13_8;11;11
output13_9;11;12
output13_10;14;15
output13_11;20;20
output13_12;9;9
output13_13;10;10
output13_14;18;19
output13_15;10;11
output14_0;21;20
output14_1;10;10
output14_2;9;9
output14_3;18;19
output14_4;14;18
output14_5;10;10
output14_6;18;20
output14_7;7;8
output14_8;13;12
output14_9;18;19
output14_10;10;10
output14_11;18;18
output14_12;11;10
output14_13;21;23
output14_14;11;11
output14_15;21;21
output15_0;14;14
output15_1;9;10
output15_2;18;18
output15_3;18;19
output15_4;17;18
output15_5;10;10
output15_6;15;14
output15_7;8;9
output15_8;17;17
output15_9;22;23
output15_10;18;19
output15_11;12;11
output15_12;12;11
output15_13;21;21
output15_14;17;17
output15_15;9;9
output16_0;22;23
output16_1;16;18
output16_2;16;23
output16_3;18;19
output16_4;20;21
output16_5;20;20
output16_6;8;8
output16_7;20;23
output16_8;16;16
output16_9;18;19
output16_10;10;11
output16_11;13;11
output16_12;8;8
output16_13;20;20
output16_14;11;12
output16_15;20;20
output17_0;8;7
output17_1;22;22
output17_2;10;11
output17_3;20;21
output17_4;10;9
output17_5;19;18
output17_6;17;18
output17_7;9;9
output17_8;9;9
output17_9;21;21
output17_10;20;20
output17_11;19;18
output17_12;16;15
output17_13;20;18
output17_14;17;20
output17_15;18;18
output18_0;13;13
output18_1;11;10
output18_2;10;10
output18_3;11;11
output18_4;18;18
output18_5;19;19
output18_6;13;13
output18_7;28;29
output18_8;17;17
output18_9;16;18
output18_10;22;24
output18_11;20;20
output18_12;22;23
output18_13;10;11
output18_14;19;20
output18_15;10;10
output19_0;18;18
output19_1;10;10
output19_2;10;8
output19_3;26;26
output19_4;8;8
output19_5;21;21
output19_6;21;21
output19_7;17;18
output19_8;11;12
output19_9;22;10
output19_10;7;7
output19_11;20;22
output19_12;21;21
