Name;Predicted;Real
output8_4;12;12
output8_5;19;19
output8_6;8;8
output8_7;11;11
output8_8;17;9
output8_9;19;20
output8_10;17;17
output8_11;22;21
output8_12;17;19
output8_13;21;21
output8_14;23;24
output8_15;22;22
output9_0;9;10
output9_1;12;12
output9_2;10;9
output9_3;20;20
output9_4;11;11
output9_5;10;10
output9_6;17;23
output9_7;11;10
output9_8;11;10
output9_9;21;21
output9_10;18;19
output9_11;26;26
output9_12;20;21
output9_13;18;17
output9_14;14;10
output9_15;18;18
output10_0;9;9
output10_1;9;9
output10_2;15;18
output10_3;11;12
output10_4;20;21
output10_5;19;18
output10_6;17;18
output10_7;21;22
output10_8;10;10
output10_9;21;20
output10_10;16;17
output10_11;16;17
output10_12;17;18
output10_13;22;21
output10_14;10;10
output10_15;10;11
output11_0;19;20
output11_1;19;20
output11_2;18;20
output11_3;26;26
output11_4;14;18
output11_5;17;19
output11_6;11;11
output11_7;9;10
output11_8;10;10
output11_9;21;22
output11_10;12;12
output11_11;9;9
output11_12;8;8
output11_13;9;9
output11_14;19;19
output11_15;19;19
output12_0;16;18
output12_1;13;9
output12_2;10;10
output12_3;22;20
output12_4;20;18
output12_5;9;7
output12_6;11;11
output12_7;21;22
output12_8;16;16
output12_9;19;20
output12_10;11;12
output12_11;11;11
output12_12;17;18
output12_13;10;11
output12_14;9;9
output12_15;19;19
output13_0;11;11
output13_1;10;10
output13_2;10;9
output13_3;22;20
output13_4;20;22
output13_5;22;22
output13_6;9;8
output13_7;20;20
output13_8;11;11
output13_9;12;12
output13_10;14;15
output13_11;20;20
output13_12;9;9
output13_13;11;10
output13_14;19;19
output13_15;10;11
output14_0;21;20
output14_1;10;10
output14_2;9;9
output14_3;19;19
output14_4;13;18
output14_5;10;10
output14_6;19;20
output14_7;8;8
output14_8;13;12
output14_9;18;19
output14_10;9;10
output14_11;18;18
output14_12;11;10
output14_13;22;23
output14_14;11;11
output14_15;21;21
output15_0;13;14
output15_1;10;10
output15_2;18;18
output15_3;16;19
output15_4;17;18
output15_5;10;10
output15_6;16;14
output15_7;9;9
output15_8;17;17
output15_9;21;23
output15_10;17;19
output15_11;15;11
output15_12;11;11
output15_13;21;21
output15_14;17;17
output15_15;10;9
output16_0;22;23
output16_1;17;18
output16_2;20;23
output16_3;20;19
output16_4;22;21
output16_5;19;20
output16_6;8;8
output16_7;17;23
output16_8;16;16
output16_9;18;19
output16_10;11;11
output16_11;15;11
output16_12;8;8
output16_13;22;20
output16_14;11;12
output16_15;20;20
output17_0;8;7
output17_1;22;22
output17_2;10;11
output17_3;20;21
output17_4;11;9
output17_5;18;18
output17_6;18;18
output17_7;9;9
output17_8;8;9
output17_9;20;21
output17_10;20;20
output17_11;18;18
output17_12;18;15
output17_13;20;18
output17_14;17;20
output17_15;16;18
output18_0;13;13
output18_1;12;10
output18_2;10;10
output18_3;11;11
output18_4;18;18
output18_5;19;19
output18_6;12;13
output18_7;28;29
output18_8;16;17
output18_9;18;18
output18_10;22;24
output18_11;20;20
output18_12;24;23
output18_13;11;11
output18_14;19;20
output18_15;9;10
output19_0;18;18
output19_1;10;10
output19_2;10;8
output19_3;26;26
output19_4;8;8
output19_5;21;21
output19_6;21;21
output19_7;17;18
output19_8;11;12
output19_9;15;10
output19_10;7;7
output19_11;20;22
output19_12;21;21
