make,model,orientation,x_resolution,y_resolution,resolution_unit,software,datetime,y_and_c_positioning,_exif_ifd_pointer,compression,jpeg_interchange_format,jpeg_interchange_format_length,exposure_time,f_number,exposure_program,exif_version,datetime_original,datetime_digitized,components_configuration,compressed_bits_per_pixel,exposure_bias_value,max_aperture_value,metering_mode,light_source,flash,focal_length,maker_note,user_comment,subsec_time,subsec_time_original,subsec_time_digitized,flashpix_version,color_space,pixel_x_dimension,pixel_y_dimension,_interoperability_ifd_Pointer,sensing_method,file_source,scene_type,cfa_pattern,custom_rendered,exposure_mode,white_balance,digital_zoom_ratio,focal_length_in_35mm_film,scene_capture_type,gain_control,contrast,saturation,sharpness,subject_distance_range,spikelets_num,name
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 11:59:48,2,216,6,29348,8803,0.008,5.6,0,0221,2022:03:25 11:59:48,2022:03:25 11:59:48,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,10,10,10,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,8,Spike_437
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 16:57:29,2,216,6,25516,8964,0.01,5.6,0,0221,2022:03:28 16:57:29,2022:03:28 16:57:29,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,70,70,70,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,9,Spike_828
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 09:38:27,2,216,6,29688,8705,0.01,5.6,0,0221,2022:03:28 09:38:27,2022:03:28 09:38:27,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,50,50,50,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_531
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 11:51:24,2,216,6,27264,8870,0.008,5.6,0,0221,2022:03:25 11:51:24,2022:03:25 11:51:24,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,00,00,00,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_430
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 10:11:36,2,216,6,26632,8781,0.01,5.6,0,0221,2022:03:28 10:11:36,2022:03:28 10:11:36,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,70,70,70,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,22,Spike_569
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 11:53:53,2,216,6,27504,8939,0.008,5.6,0,0221,2022:03:25 11:53:53,2022:03:25 11:53:53,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,50,50,50,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,9,Spike_432
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 10:53:10,2,216,6,25628,8692,0.01,5.6,0,0221,2022:03:28 10:53:10,2022:03:28 10:53:10,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,90,90,90,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,9,Spike_621
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 12:19:12,2,216,6,24920,8829,0.01,5.6,0,0221,2022:03:28 12:19:12,2022:03:28 12:19:12,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,20,20,20,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,9,Spike_728
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 12:02:45,2,216,6,25268,12384,0.008,5.6,0,0221,2022:03:25 12:02:45,2022:03:25 12:02:45,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,80,80,80,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_445
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 14:22:01,2,216,6,27176,8941,0.008,5.6,0,0221,2022:03:23 14:22:01,2022:03:23 14:22:01,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,00,00,00,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_18
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 17:27:14,2,216,6,27376,8955,0.008,5.6,0,0221,2022:03:23 17:27:14,2022:03:23 17:27:14,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,40,40,40,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,9,Spike_136
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 17:05:59,2,216,6,27356,8850,0.008,5.6,0,0221,2022:03:23 17:05:59,2022:03:23 17:05:59,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,10,10,10,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,11,Spike_114
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 16:44:41,2,216,6,28576,8884,0.008,5.6,0,0221,2022:03:23 16:44:41,2022:03:23 16:44:41,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,22,Spike_90
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 15:49:29,2,216,6,26076,9001,0.008,5.6,0,0221,2022:03:23 15:49:29,2022:03:23 15:49:29,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,50,50,50,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,21,Spike_36
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 16:46:09,2,216,6,27176,8790,0.01,5.6,0,0221,2022:03:28 16:46:09,2022:03:28 16:46:09,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,00,00,00,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,11,Spike_817
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 13:12:10,2,216,6,24768,12433,0.01,5.6,0,0221,2022:03:28 13:12:10,2022:03:28 13:12:10,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,90,90,90,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,8,Spike_790
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:24 12:17:13,2,216,6,26600,8900,0.008,5.6,0,0221,2022:03:24 12:17:13,2022:03:24 12:17:13,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,60,60,60,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,11,Spike_242
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 12:00:57,2,216,6,27776,8840,0.008,5.6,0,0221,2022:03:25 12:00:57,2022:03:25 12:00:57,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,70,70,70,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,8,Spike_440
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:24 11:18:10,2,216,6,27024,8988,0.008,5.6,0,0221,2022:03:24 11:18:10,2022:03:24 11:18:10,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,90,90,90,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,11,Spike_190
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 09:38:03,2,216,6,30024,8677,0.01,5.6,0,0221,2022:03:28 09:38:03,2022:03:28 09:38:03,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,20,20,20,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,9,Spike_530
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 15:59:05,2,216,6,26732,8812,0.008,5.6,0,0221,2022:03:23 15:59:05,2022:03:23 15:59:05,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,00,00,00,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_48
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 14:36:02,2,216,6,26928,8854,0.008,5.6,0,0221,2022:03:23 14:36:02,2022:03:23 14:36:02,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_32
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 16:44:47,2,216,6,27248,8781,0.01,5.6,0,0221,2022:03:28 16:44:47,2022:03:28 16:44:47,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,60,60,60,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,11,Spike_813
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:24 12:15:04,2,216,6,26172,9099,0.008,5.6,0,0221,2022:03:24 12:15:04,2022:03:24 12:15:04,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,80,80,80,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,11,Spike_240
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 16:20:48,2,216,6,29240,8872,0.008,5.6,0,0221,2022:03:23 16:20:48,2022:03:23 16:20:48,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,10,Spike_71
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:24 11:42:28,2,216,6,26208,9004,0.008,5.6,0,0221,2022:03:24 11:42:28,2022:03:24 11:42:28,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,70,70,70,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,20,Spike_212
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 09:41:00,2,216,6,30252,8643,0.01,5.6,0,0221,2022:03:28 09:41:00,2022:03:28 09:41:00,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,90,90,90,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,9,Spike_532
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 17:22:16,2,216,6,27552,9006,0.008,5.6,0,0221,2022:03:23 17:22:16,2022:03:23 17:22:16,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,20,20,20,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,12,Spike_130
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 13:11:33,2,216,6,25644,8998,0.01,5.6,0,0221,2022:03:28 13:11:33,2022:03:28 13:11:33,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,80,80,80,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,12,Spike_788
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 13:08:48,2,216,6,28144,8980,0.008,5.6,0,0221,2022:03:25 13:08:48,2022:03:25 13:08:48,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,21,Spike_521
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 15:56:50,2,216,6,27500,8881,0.008,5.6,0,0221,2022:03:23 15:56:50,2022:03:23 15:56:50,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,00,00,00,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,15,Spike_46
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 14:27:14,2,216,6,26276,9006,0.008,5.6,0,0221,2022:03:23 14:27:14,2022:03:23 14:27:14,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,90,90,90,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,21,Spike_22
